,Gemeindename,average
288,Buchholterberg,175.28703703703704
289,Buchillon,164.31072210065645
290,Buchrain,156.67179487179487
291,Buchs (AG),160.47721822541968
292,Buchs (SG),161.89520590043023
293,Buchs (ZH),158.5895865237366
294,Buckten,170.68856447688563
295,Bulle,151.27705662180458
296,Bullet,157.49400479616307
297,Buochs,158.2392061281337
298,Bure,159.80200501253134
299,Burg (AG),162.65656565656565
300,Burg im Leimental,180.28205128205127
301,Burgdorf,159.07780320366132
302,Burgistein,165.71533923303835
303,Bursinel,173.46372239747635
304,Bursins,157.73517786561266
305,Burtigny,160.97641509433961
306,Buseno,147.23076923076923
307,Bussigny,147.34140336479277
308,Bussnang,169.5543307086614
309,Busswil bei Melchnau,161.93388429752065
310,Bussy-Chardonney,151.6504424778761
311,Bussy-sur-Moudon,153.5985401459854
312,Buttisholz,160.56923076923076
313,Buttwil,158.57295850066933
314,Buus,173.49272727272728
315,Bäretswil,165.86545875096377
316,Bäriswil,164.540350877193
317,Bärschwil,173.9750566893424
318,Bätterkinden,157.2245922208281
319,Bättwil,169.0112
320,Böbikon,167.53982300884957
321,Böckten,170.4646680942184
322,Bönigen,168.40472027972027
323,Bösingen,153.8753142282554
324,Böttstein,166.0391115403187
325,Bözberg,170.27200902934538
326,Bözen,163.367816091954
327,Büetigen,161.1507430997877
328,Bühl,165.96113074204948
329,Bühler,172.0834213305174
330,Bülach,159.0554338299737
331,Bünzen,166.0257234726688
332,Bürchen,171.6456043956044
333,Büren (SO),170.78815080789946
334,Büren an der Aare,161.5743455497382
335,Bürglen (TG),167.51468594667872
336,Bürglen (UR),165.4009831460674
337,Büron,158.46165191740414
338,Büsserach,167.12462006079028
339,Bütschwil-Ganterschwil,166.9433962264151
340,Büttenhardt,167.61570247933884
341,Büttikon,164.9496644295302
342,Cademario,146.81140350877192
343,Cadempino,142.7731092436975
344,Cadenazzo,147.9029810298103
345,Calanca,152.24590163934425
346,Cama,148.02689486552566
347,Campo (Vallemaggia),178.65625
348,Canobbio,147.26808834729627
349,Capriasca,147.27195089404856
350,Carouge (GE),157.83985707324996
351,Cartigny,157.273851590106
352,Caslano,144.9558886509636
353,Castaneda,160.125
354,Castel San Pietro,144.83651804670913
355,Casti-Wergenstein,168.77272727272728
356,Cazis,168.782464846981
357,Celerina/Schlarigna,179.8563283922463
358,Centovalli,151.60678925035361
359,Cerentino,168.79166666666666
360,Cevio,149.79190751445086
361,Chalais,166.40490533562823
362,Cham,160.7297180043384
363,Chamblon,152.6742671009772
364,Chamoson,167.35775862068965
365,Champagne,152.1414309484193
366,Champoz,169.73394495412845
367,Champtauroz,151.765625
368,Champvent,149.85925925925926
369,Champéry,177.7222808870116
370,Chancy,158.6261904761905
371,Chapelle (Glâne),156.26589595375722
372,Chardonne,157.9870290302656
373,Charrat,163.08656957928804
374,Chavannes-de-Bogis,162.1467136150235
375,Chavannes-des-Bois,158.57570093457943
376,Chavannes-le-Chêne,155.72538860103626
377,Chavannes-le-Veyron,153.97938144329896
378,Chavannes-près-Renens,153.88280974232262
379,Chavannes-sur-Moudon,164.92307692307693
380,Chavornay,150.29019607843136
381,Cheiry,152.04583333333332
382,Cheseaux-Noréaz,153.416
383,Cheseaux-sur-Lausanne,150.41116751269035
384,Chessel,150.94820717131475
385,Chevilly,147.8556701030928
386,Chevroux,156.0142857142857
387,Chexbres,153.20045385779122
388,Cheyres-Châbles,152.50346740638003
389,Chiasso,145.09007726718178
390,Chigny,154.66129032258064
391,Chippis,163.9755600814664
392,Choulex,163.50493421052633
393,Chur,166.50105848908245
394,Churwalden,173.8851485148515
395,Château-d'Oex,172.21157024793388
396,Châtel-Saint-Denis,155.22877192982457
397,Châtel-sur-Montsalvens,161.36477987421384
398,Châtillon (FR),149.656462585034
399,Châtillon (JU),154.06228373702422
400,Châtonnaye,149.64406779661016
401,Chénens,150.6
402,Chéserex,162.36251541307027
403,Chêne-Bougeries,166.74240177909562
404,Chêne-Bourg,158.875
405,Chêne-Pâquier,142.52272727272728
406,Clarmont,150.64893617021278
407,Clavaleyres,167.58333333333334
408,Clos du Doubs,163.1903584672435
409,Coeuve,155.95488721804512
410,Coinsins,161.48125
411,Coldrerio,142.67404537908135
412,Collex-Bossy,155.98288508557457
413,Collina d'Oro,158.51616
414,Collombey-Muraz,158.94128113879003
415,Collonge-Bellerive,166.81654436290862
416,Collonges,167.63765182186233
417,Cologny,175.73229649238914
418,Comano,148.76967688483845
419,Commugny,165.35558252427185
420,Concise,152.26287744227352
421,Confignon,156.74016853932585
422,Conters im Prättigau,176.1743119266055
423,Conthey,167.41285055023073
424,Coppet,163.0135363790186
425,Corbeyrier,161.7871485943775
426,Corbières,154.67888307155323
427,Corcelles (BE),175.14634146341464
428,Corcelles-Cormondrèche,152.0029895366218
429,Corcelles-le-Jorat,156.1377049180328
430,Corcelles-près-Concise,149.97142857142856
431,Corcelles-près-Payerne,151.08565310492506
432,Corgémont,158.5171624713959
433,Corippo,184.66666666666666
434,Corminboeuf,151.2054707379135
435,Cormoret,168.3872053872054
436,Cornaux,148.8404255319149
437,Cornol,156.6159169550173
438,Corseaux,153.88492063492063
